id,date,food_prepared,food_sold,waste
84,03-07-2024,361,172,189
85,01-04-2024,240,178,62
86,22-05-2024,403,240,163
87,12-11-2024,256,178,78
88,22-03-2024,224,219,5
89,20-03-2024,81,48,33
90,20-08-2024,455,445,10
91,13-08-2024,245,216,29
92,25-10-2024,138,78,60
93,08-08-2024,157,83,74
94,01-10-2024,425,70,355
95,20-08-2024,186,165,21
96,27-03-2024,407,202,205
97,20-10-2024,58,51,7
98,23-10-2024,383,102,281
99,11-08-2024,118,108,10
100,12-06-2024,234,229,5
101,13-06-2024,299,227,72
102,12-10-2024,156,135,21
103,14-09-2024,367,259,108
104,20-02-2024,176,173,3
105,23-10-2024,249,95,154
106,19-12-2024,145,110,35
107,20-09-2024,203,80,123
108,21-11-2024,156,109,47
109,17-04-2024,348,52,296
110,27-06-2024,141,121,20
111,30-06-2024,184,113,71
112,30-09-2024,267,175,92
113,23-09-2024,147,118,29
114,24-12-2024,97,65,32
115,26-01-2024,124,88,36
116,09-04-2024,442,342,100
117,10-11-2024,354,286,68
118,10-01-2024,64,64,0
119,16-10-2024,253,175,78
120,20-06-2024,452,140,312
121,28-10-2024,72,53,19
122,08-04-2024,376,98,278
123,02-07-2024,256,50,206
124,24-09-2024,450,360,90
125,02-05-2024,374,291,83
126,25-09-2024,476,66,410
127,14-02-2024,484,273,211
128,01-03-2024,298,259,39
129,04-09-2024,395,158,237
130,22-01-2024,279,163,116
131,25-12-2024,392,268,124
132,24-02-2024,88,67,21
133,03-05-2024,266,223,43
134,04-11-2024,258,258,0
135,19-12-2024,172,62,110
136,03-10-2024,231,84,147
137,27-01-2024,414,209,205
138,20-07-2024,298,130,168
139,21-11-2024,207,49,158
140,07-11-2024,330,238,92
141,11-08-2024,400,111,289
142,23-12-2024,76,73,3
143,02-11-2024,469,62,407
144,30-05-2024,267,40,227
145,09-04-2024,366,316,50
146,25-07-2024,253,224,29
147,27-07-2024,180,177,3
148,27-07-2024,107,47,60
149,14-08-2024,273,142,131
150,14-06-2024,179,63,116
151,04-11-2024,380,188,192
152,05-11-2024,392,104,288
153,29-03-2024,250,132,118
154,09-08-2024,176,115,61
155,07-12-2024,346,242,104
156,06-09-2024,281,79,202
157,11-09-2024,232,175,57
158,24-03-2024,295,150,145
159,12-09-2024,248,171,77
160,06-11-2024,398,267,131
161,13-06-2024,299,239,60
162,20-09-2024,293,142,151
163,10-10-2024,337,190,147
164,01-08-2024,205,126,79
165,31-01-2024,237,90,147
166,18-10-2024,183,32,151
167,20-03-2024,303,40,263
168,16-09-2024,312,288,24
169,27-11-2024,434,325,109
170,04-10-2024,138,107,31
171,13-05-2024,124,47,77
172,13-03-2024,442,151,291
173,06-08-2024,361,35,326
174,12-01-2024,160,144,16
175,10-09-2024,248,159,89
176,30-01-2024,74,46,28
177,04-11-2024,260,236,24
178,08-10-2024,393,141,252
179,09-05-2024,56,46,10
180,06-04-2024,276,225,51
181,18-09-2024,143,116,27
182,19-03-2024,250,250,0
183,12-04-2024,199,131,68
184,03-08-2024,438,432,6
185,22-04-2024,159,133,26
186,20-09-2024,446,262,184
187,15-07-2024,413,125,288
188,12-05-2024,449,108,341
189,16-09-2024,234,130,104
190,05-07-2024,69,42,27
191,09-03-2024,337,73,264
192,30-12-2024,292,121,171
193,18-10-2024,192,165,27
194,05-08-2024,314,156,158
195,06-10-2024,117,116,1
196,26-06-2024,449,265,184
197,19-02-2024,375,101,274
198,16-07-2024,160,122,38
199,05-01-2024,105,54,51
200,29-01-2024,176,157,19
201,15-01-2024,463,444,19
202,20-11-2024,271,55,216
203,11-06-2024,272,257,15
204,09-12-2024,487,426,61
205,16-12-2024,450,431,19
206,05-07-2024,194,98,96
207,09-09-2024,467,178,289
208,24-05-2024,282,36,246
209,04-12-2024,186,123,63
210,09-03-2024,305,50,255
211,13-04-2024,101,61,40
212,06-04-2024,470,418,52
213,07-12-2024,332,47,285
214,21-11-2024,60,33,27
215,20-08-2024,119,78,41
216,18-07-2024,422,417,5
217,15-02-2024,474,467,7
218,21-07-2024,299,209,90
219,31-12-2024,59,35,24
220,18-06-2024,498,59,439
221,15-05-2024,341,185,156
222,21-07-2024,198,87,111
223,01-02-2024,56,32,24
224,07-02-2024,378,211,167
225,26-12-2024,350,139,211
226,25-06-2024,100,38,62
227,17-02-2024,293,243,50
228,15-01-2024,254,144,110
229,23-06-2024,176,90,86
230,31-12-2024,359,279,80
231,21-12-2024,237,52,185
232,08-08-2024,151,85,66
233,22-01-2024,242,43,199
234,21-08-2024,446,265,181
235,20-06-2024,276,227,49
236,20-09-2024,453,246,207
237,19-12-2024,232,104,128
238,23-04-2024,108,98,10
239,16-06-2024,300,235,65
240,28-10-2024,444,264,180
241,03-05-2024,154,102,52
242,22-11-2024,477,311,166
243,09-07-2024,266,43,223
244,01-04-2024,301,192,109
245,12-03-2024,88,32,56
246,05-06-2024,470,298,172
247,18-07-2024,115,108,7
248,20-04-2024,69,45,24
249,22-09-2024,206,206,0
250,27-02-2024,449,89,360
251,01-01-2024,262,95,167
252,01-06-2024,350,164,186
253,10-02-2024,140,33,107
254,16-11-2024,260,122,138
255,14-05-2024,151,134,17
256,21-11-2024,465,149,316
257,02-06-2024,222,98,124
258,01-10-2024,137,53,84
259,25-09-2024,474,131,343
260,16-04-2024,107,55,52
261,12-08-2024,170,89,81
262,21-06-2024,249,147,102
263,09-05-2024,241,67,174
264,06-07-2024,323,111,212
265,13-07-2024,68,61,7
266,08-10-2024,198,189,9
267,07-12-2024,81,76,5
268,02-03-2024,283,65,218
269,22-06-2024,162,144,18
270,26-11-2024,117,97,20
271,13-05-2024,253,37,216
272,31-10-2024,186,63,123
273,18-04-2024,265,202,63
274,04-11-2024,172,87,85
275,10-11-2024,256,161,95
276,05-06-2024,72,51,21
277,19-12-2024,252,148,104
278,18-10-2024,152,75,77
279,17-11-2024,443,219,224
280,25-10-2024,496,171,325
281,21-12-2024,214,157,57
282,15-04-2024,185,148,37
283,14-03-2024,115,33,82
284,01-09-2024,295,137,158
285,29-09-2024,129,122,7
286,23-03-2024,62,35,27
287,06-11-2024,70,64,6
288,13-08-2024,493,431,62
289,28-11-2024,364,54,310
290,10-02-2024,325,295,30
291,28-02-2024,443,148,295
292,19-04-2024,279,245,34
293,31-05-2024,426,245,181
294,28-08-2024,322,126,196
295,15-01-2024,159,50,109
296,06-10-2024,433,374,59
297,07-08-2024,70,33,37
298,11-12-2024,427,187,240
299,04-04-2024,118,30,88
300,25-02-2024,274,199,75
301,21-12-2024,471,325,146
302,05-09-2024,194,162,32
303,04-04-2024,195,70,125
304,29-12-2024,194,93,101
305,11-07-2024,376,239,137
306,18-07-2024,98,90,8
307,30-11-2024,362,215,147
308,04-05-2024,255,203,52
309,07-04-2024,397,162,235
310,07-08-2024,295,65,230
311,14-02-2024,129,120,9
312,13-10-2024,454,229,225
313,20-10-2024,170,106,64
314,29-03-2024,271,121,150
315,25-11-2024,452,240,212
316,25-11-2024,319,50,269
317,27-07-2024,199,87,112
318,05-03-2024,475,100,375
319,17-08-2024,431,317,114
320,25-01-2024,163,53,110
321,23-05-2024,464,463,1
322,10-11-2024,343,139,204
323,16-08-2024,201,31,170
324,05-11-2024,146,65,81
325,11-04-2024,400,214,186
326,09-03-2024,467,401,66
327,03-05-2024,64,54,10
328,22-11-2024,161,40,121
329,23-08-2024,450,254,196
330,29-09-2024,275,248,27
331,18-09-2024,333,87,246
332,21-04-2024,274,155,119
333,13-09-2024,225,86,139
334,30-01-2024,289,265,24
335,23-01-2024,224,214,10
336,13-02-2024,111,81,30
337,26-06-2024,56,46,10
338,22-08-2024,406,389,17
339,24-09-2024,53,49,4
340,05-06-2024,435,172,263
341,08-04-2024,375,210,165
342,07-06-2024,384,74,310
343,10-08-2024,197,52,145
344,10-08-2024,346,337,9
345,14-01-2024,227,152,75
346,13-05-2024,146,73,73
347,27-10-2024,465,131,334
348,20-09-2024,419,258,161
349,28-09-2024,71,42,29
350,11-08-2024,490,416,74
351,14-05-2024,64,46,18
352,14-09-2024,374,351,23
353,21-01-2024,259,257,2
354,29-08-2024,113,89,24
355,15-08-2024,359,281,78
356,27-01-2024,343,224,119
357,25-07-2024,229,50,179
358,11-11-2024,233,184,49
359,28-03-2024,335,142,193
360,24-07-2024,500,384,116
361,02-01-2024,244,83,161
362,26-04-2024,494,348,146
363,11-10-2024,316,196,120
364,13-03-2024,337,61,276
365,11-07-2024,408,354,54
366,16-06-2024,397,205,192
367,27-02-2024,198,69,129
368,17-11-2024,186,119,67
369,25-09-2024,360,122,238
370,23-01-2024,118,64,54
371,23-08-2024,475,348,127
372,19-11-2024,230,211,19
373,22-02-2024,205,132,73
374,30-05-2024,94,52,42
375,22-02-2024,434,413,21
376,26-08-2024,475,98,377
377,26-02-2024,305,184,121
378,24-03-2024,338,172,166
379,14-03-2024,450,160,290
380,28-10-2024,329,90,239
381,08-01-2024,317,186,131
382,11-03-2024,289,203,86
383,28-01-2024,162,79,83
384,07-03-2024,269,130,139
385,29-12-2024,448,358,90
386,03-04-2024,197,195,2
387,06-03-2024,323,33,290
388,10-02-2024,384,257,127
389,15-11-2024,131,98,33
390,23-01-2024,120,92,28
391,30-09-2024,238,149,89
392,21-03-2024,196,173,23
393,17-06-2024,103,78,25
394,14-08-2024,199,121,78
395,21-02-2024,457,239,218
396,19-01-2024,396,121,275
397,01-09-2024,451,246,205
398,09-01-2024,195,150,45
399,01-04-2024,456,445,11
400,14-08-2024,215,124,91
401,28-03-2024,333,55,278
402,05-11-2024,187,105,82
403,09-10-2024,167,151,16
404,13-08-2024,325,298,27
405,28-11-2024,230,201,29
406,09-03-2024,102,44,58
407,29-10-2024,448,66,382
408,05-05-2024,215,205,10
409,28-09-2024,116,108,8
410,12-02-2024,95,51,44
411,20-12-2024,371,364,7
412,06-04-2024,249,82,167
413,27-07-2024,120,46,74
414,31-08-2024,256,151,105
415,06-01-2024,106,41,65
416,30-04-2024,288,248,40
417,22-11-2024,90,53,37
418,14-01-2024,468,359,109
419,03-01-2024,500,129,371
420,09-12-2024,225,48,177
421,03-06-2024,180,129,51
422,02-10-2024,142,65,77
423,24-01-2024,228,142,86
424,06-12-2024,153,42,111
425,25-01-2024,262,179,83
426,29-12-2024,355,208,147
427,24-02-2024,410,403,7
428,06-05-2024,364,33,331
429,16-07-2024,237,200,37
430,10-01-2024,475,126,349
431,12-01-2024,409,386,23
432,09-06-2024,197,118,79
433,02-01-2024,244,242,2
434,11-04-2024,495,123,372
435,04-03-2024,199,162,37
436,13-07-2024,303,144,159
437,23-05-2024,305,237,68
438,02-09-2024,153,120,33
439,27-10-2024,476,424,52
440,18-03-2024,282,147,135
441,25-12-2024,147,131,16
442,29-06-2024,154,99,55
443,20-10-2024,80,78,2
444,22-12-2024,99,31,68
445,26-01-2024,166,41,125
446,10-07-2024,470,281,189
447,27-06-2024,318,246,72
448,24-11-2024,476,47,429
449,25-04-2024,425,267,158
450,20-05-2024,379,78,301
451,20-06-2024,99,47,52
452,08-09-2024,291,176,115
453,27-12-2024,420,93,327
454,27-01-2024,277,173,104
455,01-01-2024,141,59,82
456,10-05-2024,342,257,85
457,11-08-2024,264,88,176
458,08-12-2024,127,119,8
459,17-11-2024,479,187,292
460,10-08-2024,67,41,26
461,09-08-2024,282,122,160
462,04-06-2024,473,95,378
463,11-11-2024,139,107,32
464,18-07-2024,261,58,203
465,10-05-2024,188,146,42
466,11-07-2024,463,216,247
467,18-09-2024,146,59,87
468,16-04-2024,107,82,25
469,26-09-2024,250,113,137
470,03-04-2024,405,400,5
471,30-04-2024,232,155,77
472,10-10-2024,266,217,49
473,30-01-2024,233,145,88
474,06-07-2024,316,149,167
475,04-05-2024,403,73,330
476,07-03-2024,176,104,72
477,10-09-2024,85,63,22
478,08-03-2024,85,39,46
479,12-06-2024,166,120,46
480,03-06-2024,418,76,342
481,12-02-2024,389,366,23
482,25-06-2024,137,31,106
483,14-01-2024,403,397,6
484,06-03-2024,500,42,458
485,13-08-2024,244,190,54
486,21-05-2024,363,336,27
487,16-02-2024,81,35,46
488,18-02-2024,268,223,45
489,09-02-2024,279,256,23
490,16-02-2024,381,371,10
491,07-01-2024,282,63,219
492,29-01-2024,352,244,108
493,18-12-2024,283,200,83
494,16-08-2024,191,115,76
495,08-09-2024,162,53,109
496,02-07-2024,58,47,11
497,11-12-2024,268,169,99
498,22-07-2024,454,452,2
499,30-08-2024,368,235,133
500,18-01-2024,385,228,157
501,13-10-2024,244,185,59
502,09-02-2024,374,270,104
503,02-12-2024,276,259,17
504,29-01-2024,345,34,311
505,10-04-2024,73,34,39
506,07-05-2024,67,33,34
507,24-07-2024,261,247,14
508,17-10-2024,480,307,173
509,28-01-2024,298,283,15
510,14-07-2024,294,274,20
511,26-11-2024,462,94,368
512,13-07-2024,429,105,324
513,02-10-2024,359,96,263
514,07-09-2024,168,80,88
515,01-01-2024,80,49,31
516,12-04-2024,103,90,13
517,25-08-2024,340,324,16
518,15-08-2024,492,270,222
519,07-05-2024,111,82,29
520,13-03-2024,491,391,100
521,25-09-2024,193,138,55
522,01-06-2024,232,42,190
523,03-02-2024,373,183,190
524,02-11-2024,71,31,40
525,25-03-2024,52,36,16
526,26-06-2024,193,107,86
527,02-03-2024,385,106,279
528,16-08-2024,313,56,257
529,26-11-2024,476,55,421
530,08-07-2024,328,208,120
531,02-09-2024,380,39,341
532,12-04-2024,291,47,244
533,10-03-2024,402,213,189
534,21-12-2024,141,140,1
535,08-08-2024,55,41,14
536,14-12-2024,197,186,11
537,07-02-2024,460,350,110
538,08-11-2024,382,106,276
539,07-03-2024,226,114,112
540,12-09-2024,68,41,27
541,26-06-2024,204,159,45
542,08-11-2024,137,43,94
543,14-12-2024,192,148,44
544,11-09-2024,85,73,12
545,13-01-2024,394,334,60
546,10-05-2024,129,31,98
547,18-01-2024,361,149,212
548,01-01-2024,365,127,238
549,31-08-2024,400,248,152
550,03-04-2024,72,61,11
551,19-11-2024,200,200,0
552,05-01-2024,238,174,64
553,17-08-2024,206,164,42
554,16-08-2024,348,85,263
555,01-07-2024,480,146,334
556,21-07-2024,84,57,27
557,13-05-2024,138,136,2
558,20-03-2024,374,60,314
559,15-05-2024,469,37,432
560,09-03-2024,321,47,274
561,17-07-2024,57,40,17
562,11-07-2024,373,121,252
563,27-01-2024,346,47,299
564,25-07-2024,204,121,83
565,28-11-2024,167,111,56
566,16-12-2024,169,84,85
567,04-07-2024,438,313,125
568,12-10-2024,421,85,336
569,02-02-2024,284,178,106
570,02-03-2024,211,106,105
571,25-01-2024,164,73,91
572,04-10-2024,289,121,168
573,25-12-2024,462,328,134
574,18-10-2024,132,120,12
575,17-05-2024,400,159,241
576,06-03-2024,296,254,42
577,26-07-2024,193,175,18
578,11-08-2024,80,78,2
579,13-11-2024,68,55,13
580,26-03-2024,263,53,210
581,17-10-2024,258,140,118
582,15-12-2024,425,308,117
583,10-08-2024,333,267,66
584,13-04-2024,167,56,111
585,03-02-2024,116,31,85
586,14-11-2024,244,70,174
587,05-02-2024,283,94,189
588,27-03-2024,453,175,278
589,13-12-2024,354,161,193
590,26-03-2024,466,124,342
591,27-10-2024,129,65,64
592,13-01-2024,179,35,144
593,25-01-2024,369,93,276
594,28-03-2024,63,37,26
595,17-12-2024,58,32,26
596,30-05-2024,477,387,90
597,23-05-2024,77,33,44
598,20-08-2024,378,162,216
599,27-03-2024,169,165,4
600,17-12-2024,184,128,56
601,15-04-2024,320,107,213
602,26-11-2024,154,146,8
603,24-08-2024,391,274,117
604,07-10-2024,300,165,135
605,27-02-2024,269,72,197
606,07-10-2024,454,428,26
607,21-07-2024,490,212,278
608,04-11-2024,157,77,80
609,21-02-2024,326,165,161
610,03-09-2024,485,470,15
611,19-03-2024,139,44,95
612,25-08-2024,289,244,45
613,01-07-2024,273,174,99
614,12-04-2024,340,267,73
615,09-12-2024,170,39,131
616,30-08-2024,306,250,56
617,05-10-2024,125,66,59
618,18-04-2024,94,57,37
619,02-09-2024,387,169,218
620,23-07-2024,228,211,17
621,04-02-2024,195,99,96
622,23-01-2024,151,108,43
623,11-10-2024,322,143,179
624,07-05-2024,442,345,97
625,18-02-2024,96,51,45
626,21-12-2024,287,182,105
627,29-07-2024,130,93,37
628,28-08-2024,79,31,48
629,02-10-2024,216,114,102
630,16-08-2024,234,233,1
631,18-02-2024,115,110,5
632,02-10-2024,374,142,232
633,09-11-2024,167,34,133
634,10-02-2024,141,61,80
635,21-12-2024,352,70,282
636,24-08-2024,304,143,161
637,11-05-2024,343,237,106
638,15-09-2024,378,323,55
639,28-07-2024,165,74,91
640,14-01-2024,134,61,73
641,08-07-2024,361,240,121
642,01-01-2024,191,131,60
643,23-04-2024,274,69,205
644,17-10-2024,398,394,4
645,15-04-2024,224,208,16
646,03-05-2024,328,224,104
647,03-10-2024,202,38,164
648,13-07-2024,446,285,161
649,29-06-2024,173,127,46
650,29-12-2024,348,256,92
651,11-01-2024,480,296,184
652,10-05-2024,344,307,37
653,01-04-2024,438,187,251
654,25-05-2024,461,379,82
655,08-03-2024,356,207,149
656,27-01-2024,194,78,116
657,10-12-2024,353,191,162
658,01-09-2024,278,255,23
659,20-02-2024,414,384,30
660,14-08-2024,377,227,150
661,29-04-2024,220,180,40
662,02-04-2024,62,42,20
663,18-05-2024,237,150,87
664,26-03-2024,332,197,135
665,25-05-2024,126,61,65
666,27-06-2024,95,44,51
667,17-09-2024,286,101,185
668,20-08-2024,474,62,412
669,13-07-2024,236,196,40
670,11-01-2024,139,119,20
671,06-06-2024,356,270,86
672,26-01-2024,267,87,180
673,03-04-2024,487,215,272
674,27-08-2024,331,134,197
675,21-05-2024,488,416,72
676,10-04-2024,140,55,85
677,28-09-2024,265,62,203
678,18-10-2024,494,384,110
679,23-04-2024,152,31,121
680,05-08-2024,150,132,18
681,12-03-2024,345,55,290
682,01-11-2024,185,96,89
683,27-01-2024,252,240,12
684,01-07-2024,307,140,167
685,01-02-2024,441,272,169
686,31-03-2024,433,145,288
687,05-02-2024,422,267,155
688,09-07-2024,486,480,6
689,27-12-2024,374,246,128
690,04-09-2024,467,280,187
691,24-05-2024,472,285,187
692,16-05-2024,428,305,123
693,10-01-2024,453,41,412
694,04-01-2024,117,71,46
695,28-10-2024,348,89,259
696,25-09-2024,131,59,72
697,12-07-2024,393,59,334
698,13-07-2024,150,132,18
699,25-08-2024,490,97,393
700,22-11-2024,494,296,198
701,22-06-2024,228,206,22
702,18-06-2024,388,125,263
703,15-06-2024,206,34,172
704,08-09-2024,316,160,156
705,04-10-2024,305,240,65
706,14-02-2024,280,137,143
707,17-01-2024,351,167,184
708,20-07-2024,400,219,181
709,11-05-2024,363,50,313
710,03-04-2024,72,69,3
711,17-05-2024,268,139,129
712,05-03-2024,64,58,6
713,12-09-2024,365,55,310
714,18-03-2024,436,365,71
715,05-04-2024,203,203,0
716,29-10-2024,390,95,295
717,15-08-2024,281,244,37
718,27-08-2024,353,250,103
719,31-03-2024,103,77,26
720,14-01-2024,383,193,190
721,21-04-2024,433,342,91
722,20-01-2024,279,200,79
723,12-05-2024,169,44,125
724,17-09-2024,465,438,27
725,24-12-2024,213,57,156
726,04-12-2024,459,428,31
727,13-03-2024,335,260,75
728,08-11-2024,134,94,40
729,08-02-2024,112,106,6
730,25-02-2024,174,72,102
731,01-09-2024,202,145,57
732,19-06-2024,319,282,37
733,30-03-2024,371,103,268
734,22-08-2024,467,425,42
735,18-03-2024,490,297,193
736,19-08-2024,179,125,54
737,29-04-2024,228,129,99
738,07-01-2024,470,391,79
739,13-03-2024,320,177,143
740,17-10-2024,150,118,32
741,29-11-2024,245,198,47
742,04-03-2024,435,385,50
743,08-06-2024,102,96,6
744,12-03-2024,431,191,240
745,03-01-2024,63,39,24
746,21-06-2024,448,427,21
747,27-03-2024,409,366,43
748,02-10-2024,301,270,31
749,18-10-2024,211,186,25
750,04-08-2024,248,67,181
751,31-03-2024,253,178,75
752,11-07-2024,366,112,254
753,25-03-2024,411,224,187
754,21-07-2024,484,473,11
755,20-03-2024,246,231,15
756,13-01-2024,163,120,43
757,03-07-2024,116,92,24
758,03-11-2024,222,128,94
759,16-06-2024,194,74,120
760,29-10-2024,458,251,207
761,11-02-2024,229,182,47
762,09-03-2024,130,97,33
763,25-06-2024,377,75,302
764,07-03-2024,147,35,112
765,24-04-2024,269,52,217
766,10-05-2024,368,349,19
767,12-11-2024,210,132,78
768,01-05-2024,202,35,167
769,27-03-2024,460,155,305
770,17-11-2024,328,151,177
771,29-06-2024,116,60,56
772,16-09-2024,126,109,17
773,23-06-2024,103,69,34
774,08-02-2024,497,377,120
775,15-06-2024,142,42,100
776,18-04-2024,280,131,149
777,01-01-2024,272,137,135
778,04-03-2024,302,273,29
779,17-06-2024,470,206,264
780,28-04-2024,88,37,51
781,12-06-2024,347,210,137
782,05-02-2024,311,61,250
783,20-11-2024,248,61,187
784,08-06-2024,154,94,60
785,04-01-2024,484,251,233
786,17-01-2024,204,143,61
787,16-06-2024,373,231,142
788,19-12-2024,486,195,291
789,15-09-2024,289,137,152
790,04-02-2024,211,133,78
791,30-08-2024,412,148,264
792,26-02-2024,356,161,195
793,22-10-2024,401,233,168
794,10-08-2024,397,349,48
795,20-04-2024,409,139,270
796,02-03-2024,133,49,84
797,16-01-2024,119,79,40
798,21-06-2024,89,48,41
799,18-10-2024,319,143,176
800,03-10-2024,442,425,17
801,07-11-2024,285,247,38
802,30-04-2024,198,169,29
803,15-05-2024,283,174,109
804,10-03-2024,279,174,105
805,28-09-2024,411,146,265
806,01-01-2024,333,199,134
807,06-11-2024,438,136,302
808,28-12-2024,95,66,29
809,04-07-2024,497,315,182
810,03-01-2024,419,216,203
811,02-04-2024,229,160,69
812,27-05-2024,180,123,57
813,23-06-2024,131,79,52
814,21-03-2024,325,167,158
815,25-02-2024,408,45,363
816,20-05-2024,488,384,104
817,14-11-2024,160,157,3
818,30-11-2024,125,100,25
819,09-04-2024,98,86,12
820,18-12-2024,258,237,21
821,14-09-2024,106,78,28
822,26-05-2024,264,208,56
823,06-06-2024,379,167,212
824,02-03-2024,230,45,185
825,09-10-2024,315,120,195
826,17-04-2024,465,214,251
827,28-04-2024,174,114,60
828,22-05-2024,484,299,185
829,29-08-2024,268,219,49
830,29-03-2024,401,129,272
831,18-08-2024,398,75,323
832,28-11-2024,382,188,194
833,04-08-2024,157,45,112
834,09-09-2024,200,49,151
835,09-03-2024,411,315,96
836,20-09-2024,262,200,62
837,27-02-2024,278,230,48
838,15-06-2024,272,158,114
839,19-05-2024,162,95,67
840,03-12-2024,282,282,0
841,10-05-2024,63,31,32
842,01-07-2024,447,356,91
843,16-09-2024,370,38,332
844,14-03-2024,216,181,35
845,05-03-2024,149,142,7
846,14-07-2024,59,40,19
847,18-08-2024,169,113,56
848,31-01-2024,482,445,37
849,14-10-2024,492,256,236
850,29-11-2024,189,68,121
851,14-04-2024,448,428,20
852,06-06-2024,454,85,369
853,16-07-2024,151,87,64
854,25-07-2024,488,187,301
855,26-05-2024,431,74,357
856,08-09-2024,276,105,171
857,12-04-2024,389,95,294
858,16-02-2024,125,109,16
859,23-10-2024,452,443,9
860,30-04-2024,215,130,85
861,23-08-2024,256,192,64
862,03-02-2024,353,288,65
863,24-12-2024,172,79,93
864,13-11-2024,367,50,317
865,23-02-2024,471,454,17
866,07-02-2024,106,105,1
867,11-10-2024,356,355,1
868,11-11-2024,110,96,14
869,12-09-2024,74,57,17
870,25-04-2024,186,175,11
871,07-09-2024,432,277,155
872,13-01-2024,155,80,75
873,18-04-2024,302,92,210
874,10-04-2024,206,174,32
875,29-12-2024,381,138,243
876,08-02-2024,88,33,55
877,02-07-2024,341,272,69
878,07-12-2024,339,296,43
879,02-06-2024,197,164,33
880,30-05-2024,472,315,157
881,23-10-2024,394,344,50
882,03-07-2024,313,35,278
883,14-06-2024,263,95,168
884,02-09-2024,290,287,3
885,16-07-2024,249,93,156
886,04-08-2024,112,61,51
887,27-05-2024,493,271,222
888,25-02-2024,334,222,112
889,06-02-2024,267,49,218
890,04-10-2024,287,247,40
891,23-09-2024,235,215,20
892,24-10-2024,191,152,39
893,29-07-2024,354,222,132
894,25-08-2024,246,30,216
895,08-02-2024,361,263,98
896,15-06-2024,341,194,147
897,27-08-2024,220,39,181
898,13-04-2024,452,47,405
899,24-04-2024,53,44,9
900,26-02-2024,395,31,364
901,05-02-2024,286,49,237
902,02-08-2024,277,266,11
903,17-09-2024,107,97,10
904,06-08-2024,148,108,40
905,28-03-2024,217,211,6
906,17-09-2024,479,279,200
907,29-07-2024,489,374,115
908,24-05-2024,458,321,137
909,12-12-2024,177,37,140
910,15-11-2024,380,196,184
911,30-04-2024,475,68,407
912,18-01-2024,440,192,248
913,29-09-2024,238,190,48
914,19-11-2024,224,71,153
915,09-10-2024,256,79,177
916,16-01-2024,310,66,244
917,16-09-2024,377,190,187
918,24-12-2024,250,215,35
919,24-11-2024,349,91,258
920,26-09-2024,264,218,46
921,07-06-2024,356,93,263
922,25-05-2024,422,159,263
923,13-12-2024,421,130,291
924,26-11-2024,125,104,21
925,29-03-2024,389,296,93
926,13-04-2024,142,128,14
927,06-02-2024,60,47,13
928,29-01-2024,452,236,216
929,17-02-2024,450,68,382
930,21-11-2024,218,136,82
